sample	clade
ARG0194	Clade 2
ARG0191	Clade 2
ARG0092	Clade 2
ARG0119	Clade 2
ARG0114	Clade 2
ARG0274	Clade 2
ARG0221	Clade 2
ARG0222	Clade 2
ARG0229	Clade 2
ARG0224	Clade 2
ARG0227	Clade 2
ARG0225N	Clade 2
ARG0271	Clade 2
ARG0276	Clade 2
ARG0279	Clade 2
ARG0277N	Clade 2
ARG0223	Clade 2
ARG0228	Clade 2
ARG0230N	Clade 2
ARG0232	Clade 2
ARG0268	Clade 2
ARG0251	Clade 2
ARG0253	Clade 2
ARG0256	Clade 2
ARG0260	Clade 2
ARG0252	Clade 2
ARG0254	Clade 2
ARG0255	Clade 2
ARG0292	Clade 2
ARG0296	Clade 2
ARG0295	Clade 2
ARG0293	Clade 2
ARG0298N	Clade 2
ARG0297	Clade 2
ARG0299	Clade 2
ARG0294	Clade 2
ARG0083	Clade 2
ARG0099	Clade 2
ARG0088	Clade 2
ARG0093	Clade 2
ARG0089	Clade 2
ARG0231	Clade 2
ARG0087N	Clade 2
ARG0235	Clade 2
ARG0238	Clade 2
ARG0226N	Clade 2
ANN1351	Clade 2
ANN1352	Clade 2
ANN1353	Clade 2
ANN1356	Clade 2
ANN1355	Clade 2
DEB_1837	Clade 2
ARG0272	Clade 2
ARG0280	Clade 2
ARG0282	Clade 2
DEB_1136	Clade 2
DEB_366	Clade 2
ARG0264	Clade 2
ARG0300	Clade 2
ARG0011	Clade 2
ARG0017	Clade 2
ARG0018	Clade 2
ARG0012	Clade 2
ARG0042	Clade 2
ARG0043	Clade 2
ARG0050	Clade 2
ARG0047	Clade 2
ARG0013	Clade 2
ARG0044N	Clade 2
ARG0014	Clade 2
ARG0015	Clade 2
ARG0016	Clade 2
ARG0046	Clade 2
ARG0052	Clade 2
ARG0020	Clade 2
ARG0041	Clade 2
ARG0059	Clade 2
ARG0049	Clade 2
ARG0048N	Clade 2
ARG0053	Clade 2
ARG0019	Clade 2
ARG0045	Clade 2
ARG0058	Clade 2
GSD1795	Clade 2
HK24_10-1	Clade 2
R18_NHKG_2013_1-R-2	Clade 2
W54_NHKG_2013_2-W-4A	Clade 2
R32_HK24_2013_1-R-6	Clade 2
W67_HK24_2013_1-W-5	Clade 2
HK24_24-2	Clade 2
R38_HK24_2013_61	Clade 2
HK24_16_01_R_038	Clade 2
NHKG_16_01_W_141	Clade 2
HK24_16_01_R_003	Clade 2
HK24_16_01_W_040	Clade 2
HK24_16_01_R_108	Clade 2
HK24_16_01_W_046	Clade 2
HK24_16_01_W_106	Clade 2
HK24_16_01_R_101	Clade 2
HK24_16_01_W_118	Clade 2
HK24_16_01_W_052	Clade 2
W50_NHKG_2013_1-W-6B	Clade 2
W65_HK24_2013_1-W-1	Clade 2
NHKG_16_01_R_223	Clade 2
HK24_16_01_W_120	Clade 2
HK24_16_01_R_027	Clade 2
HK24_16_01_R_054	Clade 2
HK24_16_01_R_113	Clade 2
NHKG_16_01_R_217	Clade 2
NHKG_16_01_R_204	Clade 2
NHKG_16_01_R_205	Clade 2
NHKG_16_01_W_221	Clade 2
HK24_16_01_W_058	Clade 2
NHKG_16_01_R_124	Clade 2
NHKG_16_01_W_149	Clade 2
NHKG_16_01_R_201	Clade 2
NHKG_16_01_R_144	Clade 2
NHKG_16_01_R_190	Clade 2
HK24_16_01_R_072	Clade 2
HK24_16_01_R_020	Clade 2
HK24_16_01_W_057	Clade 2
HK24_16_01_W_070	Clade 2
HK24_16_01_W_081	Clade 2
HK24_16_01_R_080	Clade 2
NHKG_16_01_R_178	Clade 2
NHKG_16_01_R_225	Clade 2
NHKG_16_01_R_140	Clade 2
NHKG_16_01_R_177	Clade 2
HK24_16_01_R_045	Clade 2
HK24_16_01_R_070	Clade 2
NHKG_16_01_R_193	Clade 2
NHKG_16_01_R_175	Clade 2
NHKG_16_01_R_153	Clade 2
HK24_16_01_R_091	Clade 2
NHKG_16_01_R_139	Clade 2
NHKG_16_01_R_211	Clade 2
HK24_16_01_R_028	Clade 2
HK24_16_01_R_112	Clade 2
NHKG_16_01_R_215	Clade 2
NHKG_16_01_W_214	Clade 2
NHKG_16_01_R_181	Clade 2
NHKG_16_01_R_189	Clade 2
W64_HK24_2013_79	Clade 2
NHKG_16_01_W_200	Clade 2
HK24_16_01_W_013	Clade 2
HK24_16_01_W_066	Clade 2
NHKG_16_01_R_209	Clade 2
NHKG_16_01_W_168	Clade 2
W62_HK24_2013_43	Clade 2
HK24_16_01_W_087	Clade 2
HK24_16_01_R_057	Clade 2
HK24_16_01_W_034	Clade 2
NHKG_16_01_W_213	Clade 2
NHKG_16_01_W_222	Clade 2
HK24_16_01_R_065	Clade 2
HK24_16_01_R_047	Clade 2
HK24_16_01_W_056	Clade 2
LS_2-2	Clade 2
LS_23-1	Clade 2
LS_30-5	Clade 2
W69_NHK_2013_3	Clade 2
W84_SNM_2013_72	Clade 2
W81_SNM_2013_50	Clade 2
LS_20-3	Clade 2
LS_29-7	Clade 2
W70_NHK_2013_5	Clade 2
W71_NHK_2013_8	Clade 2
W91_SNM_2013_93	Clade 2
NHKG_16_01_R_196	Clade 2
HK24_16_01_W_135	Clade 2
HK24_16_01_R_034	Clade 2
HK24_16_01_R_107	Clade 2
HK24_16_01_R_007	Clade 2
HK24_16_01_R_056	Clade 2
NHKG_16_01_R_224	Clade 2
HK24_16_01_W_071	Clade 2
NHKG_16_01_W_165	Clade 2
NHKG_16_01_R_213	Clade 2
NHKG_16_01_R_147	Clade 2
NHKG_16_01_R_158	Clade 2
HK24_16_01_R_118	Clade 2
HK24_16_01_W_079	Clade 2
NHKG_16_01_W_223	Clade 2
R46_NHKE4_2013_5	Clade 2
HK24_16_01_W_097	Clade 2
R23_NHKG_2013_2-R-10	Clade 2
R25_NHKG_2013_4-R-4	Clade 2
W55_NHKG_2013_2-W-6	Clade 2
HK24_16_01_W_091	Clade 2
NHKG_16_01_W_142	Clade 2
HK24_16_01_W_109	Clade 2
NHKG_16_01_R_162	Clade 2
HK24_16_01_W_130	Clade 2
NHKG_16_01_R_167	Clade 2
NHKG_16_01_R_171	Clade 2
NHKG_16_01_W_161	Clade 2
HK24_16_01_R_029	Clade 2
NHKG_16_01_W_188	Clade 2
NHKG_16_01_W_230	Clade 2
W68_NHKE4_2013_1-W-1	Clade 2
HK24_16_01_R_010	Clade 2
HK24_16_01_W_102	Clade 2
HK24_16_01_W_128	Clade 2
HK24_16_01_R_064	Clade 2
R42_NHKE4_2013_1-R-8	Clade 2
HK24_16_01_R_076	Clade 2
HK24_16_01_W_008	Clade 2
HK24_16_01_W_092	Clade 2
NHKG_16_01_W_205	Clade 2
HK24_16_01_W_136	Clade 2
NHKG_16_01_R_166	Clade 2
HK24_16_01_W_012	Clade 2
NHKG_16_01_R_161	Clade 2
NHKG_16_01_W_151	Clade 2
NHKG_16_01_W_187	Clade 2
NHKG_16_01_W_148	Clade 2
HK24_16_01_W_132	Clade 2
NHKG_16_01_R_183	Clade 2
NHKG_16_01_R_186	Clade 2
NHKG_16_01_W_199	Clade 2
NHKG_16_01_R_165	Clade 2
HK24_16_01_R_052	Clade 2
NHKG_16_01_W_139	Clade 2
HK24_16_01_W_108	Clade 2
HK24_16_01_W_025	Clade 2
HK24_16_01_W_065	Clade 2
HK24_16_01_R_058	Clade 2
NHKG_16_01_W_175	Clade 2
HK24_16_01_R_089	Clade 2
NHKG_16_01_W_145	Clade 2
NHKG_16_01_W_228	Clade 2
W51_NHKG_2013_2-W-1	Clade 2
NHKG_16_01_W_217	Clade 2
HK24_16_01_W_089	Clade 2
NHKG_16-1	Clade 2
NHK_5-4	Clade 2
R36_HK24_2013_30	Clade 2
R39_NHKE2_2013_1-R-4	Clade 2
NHKE_9-1	Clade 2
R29_NHKG_2013_4-R-26	Clade 2
NHKG_9-4	Clade 2
R22_NHKG_2013_2-R-7	Clade 2
W58_NHKG_2013_4-W-8	Clade 2
HK24_16_01_W_093	Clade 2
